Region,Country code,Country,Year,Income group,NY.GDP.PCAP.CD,NY.GDP.PCAP.PP.CD,IT.NET.USER.P2,SP.POP.GROW,SP.TER.TOTL.IN,SP.POP.TOTL
East Asia & Pacific,AUS,Australia,2010,High income: OECD,51874.0804819957,39191.0356251816,76.0,1.55548958906995,1577526.0,22031750.0
East Asia & Pacific,BRN,Brunei,2010,High income: nonOECD,35268.1011703581,78923.3904740313,53.0,1.26614450607904,36896.0,388662.0
East Asia & Pacific,CHN,China,2010,Upper middle income,4560.51258600929,9333.12423690653,34.3,0.482959688678361,129642728.0,1337705000.0
East Asia & Pacific,FJI,Fiji,2010,Upper middle income,3651.96678405546,7203.36569339968,20.0,0.932645433767047,77469.0,859950.0
East Asia & Pacific,FSM,Micronesia,2010,Lower middle income,2861.77134805435,3230.94985546081,20.0,-0.331445171811962,12030.0,103616.0
East Asia & Pacific,HKG,"Hong Kong SAR, China",2010,High income: nonOECD,32549.998231121,47134.5689688841,72.0,0.734446396338105,452685.0,7024200.0
East Asia & Pacific,IDN,Indonesia,2010,Lower middle income,3113.48063451433,8262.89926894218,10.92,1.32140494165303,20665772.0,242524123.0
East Asia & Pacific,JPN,Japan,2010,High income: OECD,44507.6763859172,34996.3244625316,78.21,0.0179605415195644,6605765.0,128070000.0
East Asia & Pacific,KHM,Cambodia,2010,Low income,785.692884137826,2471.89147442893,1.26,1.53904513328844,1388033.0,14308740.0
East Asia & Pacific,KIR,Kiribati,2010,Lower middle income,1493.16051003948,1696.51197430927,9.07,2.05105113450242,10523.0,102652.0
East Asia & Pacific,KOR,Korea,2010,High income: OECD,22086.9529193201,30376.8718192526,83.7,0.49822508440111,3280652.0,49554112.0
East Asia & Pacific,LAO,Lao PDR,2010,Lower middle income,1141.12711507419,3902.92135634081,7.0,1.52020420325314,723218.0,6246274.0
East Asia & Pacific,MAC,"Macao SAR, China",2010,High income: nonOECD,52374.7944457228,96198.2410025704,55.198,2.1946089306474,47705.0,536969.0
East Asia & Pacific,MHL,Marshall Islands,2010,Upper middle income,3146.76394849785,3408.7767621021,7.0,0.200486963904027,3949.0,52425.0
East Asia & Pacific,MMR,Myanmar,2010,Low income,987.73658320217,3645.93643504092,0.25,0.710723543924855,4637913.0,50155896.0
East Asia & Pacific,MNG,Mongolia,2010,Lower middle income,2650.35364830438,7552.66558598877,10.2,1.64885738501064,307989.0,2712650.0
East Asia & Pacific,MYS,Malaysia,2010,Upper middle income,9071.35698672103,20680.2968483512,56.3,1.81960217613464,2858308.0,28112289.0
East Asia & Pacific,NZL,New Zealand,2010,High income: OECD,33691.3483689734,31263.7857861676,80.46,1.1117260560215,322637.0,4350700.0
East Asia & Pacific,PHL,Philippines,2010,Lower middle income,2129.49924655622,5483.62094378612,25.0,1.61957314710249,9324350.0,93726624.0
East Asia & Pacific,PNG,Papua New Guinea,2010,Lower middle income,2004.81811175089,3127.01787926792,1.28,2.28802798506389,620530.0,7108239.0
East Asia & Pacific,SGP,Singapore,2010,High income: nonOECD,46569.6795060716,70646.8202648274,71.0,1.77183287926401,347775.3333333333,5076732.0
East Asia & Pacific,SLB,Solomon Islands,2010,Lower middle income,1272.44802510598,1746.76515681922,5.0,2.24386227810355,47125.0,527790.0
East Asia & Pacific,THA,Thailand,2010,Upper middle income,5075.30217639529,13213.747749553,22.4,0.487642631189843,4833566.0,67208808.0
East Asia & Pacific,TLS,Timor-Leste,2010,Lower middle income,806.062774481769,1667.79888214038,3.0,1.59613710475529,102222.0,1109591.0
East Asia & Pacific,TON,Tonga,2010,Upper middle income,3548.0683985325,4883.37022651885,16.0,0.513140082648029,9874.0,104137.0
East Asia & Pacific,TUV,Tuvalu,2010,Upper middle income,3021.88952810147,2945.71868217362,25.0,0.858292509048678,1041.0,10531.0
East Asia & Pacific,VNM,Vietnam,2010,Lower middle income,1333.58352396677,4395.50858149354,30.65,1.04940037653285,8905332.0,86932500.0
East Asia & Pacific,VUT,Vanuatu,2010,Lower middle income,2965.80243434839,2888.39827319918,8.0,2.35944832386145,23115.0,236295.0
East Asia & Pacific,WSM,Samoa,2010,Lower middle income,3453.43429763501,5290.66066310442,7.0,0.743337537684206,16465.0,186205.0
Europe & Central Asia,ALB,Albania,2010,Upper middle income,4094.35883191918,9646.61572668359,45.0,-0.49646196338738,274639.0,2913021.0
Europe & Central Asia,ARM,Armenia,2010,Lower middle income,3218.38165488465,6567.25858179835,25.0,-0.391023921304488,288532.0,2877311.0
Europe & Central Asia,AUT,Austria,2010,High income: OECD,46858.0432733717,42087.247388195,75.17,0.240394299500766,509495.0,8363404.0
Europe & Central Asia,AZE,Azerbaijan,2010,Upper middle income,5842.80578358576,15627.6056198817,46.0,1.18978770786007,938352.0,9054332.0
Europe & Central Asia,BEL,Belgium,2010,High income: OECD,44380.1766327308,40129.3713780553,75.0,0.913639391631709,657662.0,10895586.0
Europe & Central Asia,BGR,Bulgaria,2010,Upper middle income,6843.26328885315,14962.9848631188,46.23,-0.658275446635908,494882.0,7395599.0
Europe & Central Asia,BIH,Bosnia and Herzegovina,2010,Upper middle income,4614.8290411405,9323.85656479196,42.75,-0.655462607580553,310057.6666666667,3722084.0
Europe & Central Asia,BLR,Belarus,2010,Upper middle income,6029.3967998293,15906.7561959696,31.8,-0.170360662064171,716148.0,9490583.0
Europe & Central Asia,CHE,Switzerland,2010,High income: OECD,74605.7210207051,53170.2789192697,83.9,1.0415580576588,470972.0,7824909.0
